,0
234,269.9236562598403
235,270.7683794395989
236,274.5043702073608
237,273.6022791446494
238,259.3724544564546
239,255.4916236427402
240,255.30134449107106
241,252.63416958622645
242,250.49024502851327
243,249.41088923328425
244,248.69461372392092
245,248.3405809147375
246,247.4045264025606
247,246.00946681678897
248,245.8027160577797
249,245.7884639985817
250,245.98375425802186
251,245.83887128945776
252,245.70143369196452
253,245.6521862844327
254,247.33415089211522
255,250.40237158079577
256,253.53131431805355
257,255.74547041265004
258,257.2953887556949
259,258.32101950390233
260,261.3980787263383
261,263.0412875849391
262,266.65665084180756
263,267.39366472702034
264,267.69120721893097
265,267.8469240919175
266,270.31515054344817
267,270.4114392457191
268,270.3057048976255
269,267.5078331371027
270,264.0419167809128
271,232.21171780208854
272,232.56092345869007
273,233.69332419918118
274,234.69097121933987
275,234.8211060833969
276,235.4013836555422
277,236.3258213620562
278,236.4360633901981
279,237.3779180089972
280,237.46650091481078
281,237.65682537102154
282,237.7990026551342
283,237.79948536767603
284,237.79676806188746
285,237.7934121349483
286,238.15549833261062
287,238.45117048182732
288,238.47939981648997
289,238.51241466974773
290,240.2321750875635
291,240.97045754111932
292,243.01682684665207
293,243.90698336477465
294,245.17481067508143
295,244.623848799991
296,243.4023390475275
297,242.64513112393803
298,242.6031337534715
299,242.47059886447934
300,241.8436107258899
301,241.7776218279598
302,241.6827513447997
303,241.57836502920125
304,241.533615286839
305,241.4969602752864
306,241.43638592502202
307,241.3369633786659
308,241.32596828949409
309,240.96657793797613
310,240.83406468888168
311,240.76879565940766
312,240.45194036550055
313,240.63360572326056
314,240.6949602599584
315,240.7416865473082
316,240.90940501872214
317,241.1747964834538
318,241.40328985803356
319,241.74611936241783
320,241.8108158543326
321,241.85016772919087
322,241.97871217569667
323,241.9838723790644
324,242.09614674406268
325,242.22409659677845
326,242.22511666000565
327,242.56465991978038
328,242.60111888298206
329,242.63646009387537
330,242.64572819279644
331,242.76337737626727
332,242.8126097904958
333,242.83672077579598
